Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
One Packet of Coffee,Not Specified,"H/Constable  Pervez  Khan,
Gunman,  Prime  Minister
Sectt.",Unknown,2007-03-17,0.0,0.0,Yes,Yes
One Packet of Coffee,Not Specified,"Nk.  Ghulam  Akbar,  SSG",Unknown,2007-03-17,0.0,0.0,Yes,Yes
One Packet of Coffee,Not Specified,"Sep.  Irfan-ul-Haq,  SSG
Gunman,  Prime  Minister
Sectt.",Unknown,2007-03-17,0.0,0.0,Yes,Yes
One Packet of Coffee,Not Specified,"Mr.  Naveed-us-Siyam,
Nursing  Assistant,  Prime
Minister Sectt.",Unknown,2007-03-17,0.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan
Begum Prime Minister",Gen Mus,2007-03-20,15000.0,750.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-03-20,27000.0,2550.0,Yes,Yes
a,Carpet,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-03-20,55000.0,6750.0,Yes,Yes
      One Carpet,Carpet,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-03-20,10000.0,0.0,Yes,Yes
a,Clothes,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-03-20,6500.0,0.0,Yes,Yes
One  Green  Chaddar,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-03-20,0.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-03-20,2500.0,0.0,Yes,Yes
a,Carpet,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-03-21,5000.0,0.0,Yes,Yes
One  Roof  Prism,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-03-21,4000.0,0.0,Yes,Yes
One  Wrist  Watch,Watch,"Mr.  Aman  Ullah Khan
Jadoon,  Minister  for
Petroleum  &  Natural
Resources",Unknown,2007-03-27,90000.0,12000.0,Yes,Yes
One  Decoration  Piece,Decoration Pieces,"Mr.  Sikandar  Hayat  Khan
Bosan,  Minister  Food,
Agriculture & Livestock",Unknown,2007-03-30,3000.0,0.0,Yes,Yes
One  Jewellary  Set  in,Not Specified,"First  Lady  of  Pakistan,  wife
of  President  Pervaiz
Musharraf",Unknown,2007-04-03,14882400.0,0.0,Yes,Yes
One  Wrist  Watch,Watch,"Lt.  Col.  Syed  Muhammad
Adnan,  DMS  to  the
President",Military,2007-04-03,20000.0,1500.0,Yes,Yes
One  Wrist  Watch,Watch,"Cdr.  Amir  Saeed,  ADC  to
President",Military,2007-04-03,20000.0,1500.0,Yes,Yes
A Pair of Cufflinks,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-03,1200.0,0.0,Yes,Yes
One Book ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-03,0.0,0.0,Yes,Yes
a,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-03,6500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-03,2500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-03,4000.0,0.0,Yes,Yes
One  Decoration  Piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-03,2500.0,0.0,Yes,Yes
One Ship Anchor,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-03,0.0,0.0,Yes,Yes
One  Ceramic  Plate,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-03,1200.0,0.0,Yes,Yes
a,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-03,6000.0,0.0,Yes,Yes
One Glass,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-03,350.0,0.0,Yes,Yes
One  Pearl  Necklace,Not Specified,Chairman ERRA,Unknown,2007-04-05,3500.0,0.0,Yes,Yes
a,Not Specified,"Pir M. Shah Khagga, MNA",Unknown,2007-04-05,15000.0,0.0,Yes,Yes
One  wrist  watch,Watch,"Pir M. Shah Khagga, MNA",Unknown,2007-04-05,100000.0,13500.0,Yes,Yes
a,Decoration Pieces,Auditor General of Pakistan,Unknown,2007-04-07,10000.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,6000.0,0.0,Yes,Yes
One  Portrait  duly,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,5000.0,0.0,Yes,Yes
One  Book  ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,0.0,0.0,Yes,Yes
One  small  Flower,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,4000.0,0.0,Yes,Yes
One Table Clock,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,650.0,0.0,Yes,Yes
Two  Photographs,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,0.0,0.0,Yes,Yes
One Gun,Weapons,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,2500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,1200.0,0.0,Yes,Yes
One Tray,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,1200.0,0.0,Yes,Yes
One  tea  Set  ,Crockery,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,4500.0,0.0,Yes,Yes
Seven Books,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,0.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,6500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,1000.0,0.0,Yes,Yes
One  Book  ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,0.0,0.0,Yes,Yes
One Flower Vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,2500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz, Prime
Minister of Pakistan",Gen Mus,2007-04-11,3000.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-11,18000.0,1200.0,Yes,Yes
One  Silver  Bowl  with,Not Specified,"Mr. Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,3500.0,0.0,Yes,Yes
A  Vase  with  engraved,Decoration Pieces,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,4000.0,0.0,Yes,Yes
Gobek,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,0.0,0.0,Yes,Yes
Small  Decoration,Decoration Pieces,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,250.0,0.0,Yes,Yes
Cloisonn,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,250.0,0.0,Yes,Yes
,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,45000.0,5250.0,Yes,Yes
Ravissant  Silver,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,2000.0,0.0,Yes,Yes
Ravissant  Silver,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,2000.0,0.0,Yes,Yes
One  Brief  Case,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,296840.0,52575.0,Yes,Yes
a,Jewellery/Accessories,"President  of  Pakistan,
General Pervaiz Musharraf",Military,2007-01-31,63660.0,48512.76099881094,Yes,Yes
a,Watch,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,422700.0,0.0,Auctioned,"Auctioned
(a) For
Rs.100,600/-
(b) For
Rs.386,500/-"
Sea Shell,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,3000.0,0.0,Yes,Yes
Wooden  engraved,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,3500.0,0.0,Yes,Yes
Framed  Philippines,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-04-12,8000.0,0.0,Yes,Yes
One  Wrist  Watch,Watch,"Mr.  Zamir  Akram,
Additional Secretary (FSA)",Bureaucracy,2007-04-19,2000.0,0.0,Yes,Yes
One  Coffee  Set,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-20,10000.0,0.0,Yes,Yes
One White Chaddar,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-20,350.0,0.0,Yes,Yes
One Decoration Piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-20,3500.0,0.0,Yes,Yes
One Flower Vase,Decoration Pieces,"Mr.  Altaf  M.  Saleem,
Chairman ERRA",Unknown,2007-04-25,3000.0,0.0,Yes,Yes
One  Scenery  duly,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,6500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,0.0,0.0,Yes,Yes
One Ceramic Plate,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,2500.0,0.0,Yes,Yes
One Coffee Set,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,8000.0,0.0,Yes,Yes
One Wooden ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,60000.0,0.0,Auctioned,"Auctioned for
Rs.66,111/-"
One Book,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,0.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,0.0,0.0,Yes,Yes
One Mobile Set,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,6500.0,0.0,Yes,Yes
Horoscope  with,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,1500.0,0.0,Yes,Yes
One  Scenery  duly,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,6500.0,0.0,Yes,Yes
One  Photo  Album  of,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,0.0,0.0,Yes,Yes
One  Scenery  duly,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,7000.0,0.0,Yes,Yes
One  Scenery  duly,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,25000.0,0.0,Yes,Yes
One  embroidery  duly,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,5000.0,0.0,Yes,Yes
One Ball Pen,Pen,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,3000.0,0.0,Yes,Yes
a,Decoration Pieces,"For  Begum  sahiba  of  Mr.
Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,6000.0,0.0,Yes,Yes
One Flower Vase,Decoration Pieces,"For Begum sahiba of
Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,15000.0,0.0,Yes,Yes
a,Not Specified,"For  Begum  sahiba  of  Mr.
Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,9500.0,0.0,Yes,Yes
One Bowl with Lid,Not Specified,"For  Begum  sahiba  of  Mr.
Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,4000.0,0.0,Yes,Yes
One Album,Not Specified,"For  Begum  sahiba  of  Mr.
Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,0.0,0.0,Yes,Yes
One  Miniature  of,Not Specified,"For  Begum  sahiba  of  Mr.
Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,3000.0,0.0,Yes,Yes
One  Miniature  Picture,Not Specified,"For  Begum  sahiba  of  Mr.
Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-25,0.0,0.0,Yes,Yes
One  Jewellary  Box,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-27,2000.0,0.0,Yes,Yes
One  Digital  Camera,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-27,21000.0,1650.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister  of  Pakistan  Begum
Sahiba",Gen Mus,2007-04-27,5000.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-27,6600.0,0.0,Yes,Yes
One  scenery  with,Not Specified,"Begum  Sahiba  of  Mr.
Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-27,3800.0,0.0,Yes,Yes
One Panda,Not Specified,"Begum  Sahiba  of  Mr.
Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-04-27,1500.0,0.0,Yes,Yes
One Pen,Pen,"Brig.  Tahir  Mahmud  Malik,
Military  Secretary  to  the
Prime Minister",Military,2007-04-27,3200.0,0.0,Yes,Yes
Wrist  Watch  Roberge,Watch,"Lt Cdr. Ahmed Farooq Butt,
ADC to the Prime Minister",Military,2007-04-27,35000.0,3750.0,Yes,Yes
One  Wrist  Watch,Watch,Mr.  Muhammad  Saeed,Unknown,2007-04-30,7500.0,0.0,Yes,Yes
One  Wrist  Watch,Watch,"Mr.  Muhammad  Junaid
Khan, UDC, President Sectt.",Unknown,2007-04-30,20000.0,1500.0,Yes,Yes
One  Book  ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-12,0.0,0.0,Yes,Yes
One Tea Set ,Crockery,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-12,7000.0,0.0,Yes,Yes
a,Pen,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-12,4500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan
Begum Sahiba",Gen Mus,2007-05-12,20000.0,1500.0,Yes,Yes
Model  of  a Wooden,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-05-24,1000.0,0.0,Yes,Yes
A Flower Vase ,Decoration Pieces,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-05-24,1200.0,0.0,Yes,Yes
Model  of  Elephant,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-05-24,5000.0,0.0,Yes,Yes
Cigarette  box  with,Cigar/Cigarettes,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-05-24,2500.0,0.0,Yes,Yes
Decorative Piece ,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-05-24,0.0,0.0,Yes,Yes
Wooden  decoration,Decoration Pieces,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-05-24,0.0,0.0,Yes,Yes
A  silver  Plate  with,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-05-24,0.0,0.0,Yes,Yes
Framed  Scenery,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-05-24,1500.0,0.0,Auctioned,"Auctioned for
Rs.4,100/-"
A  Souvenir  Bosnia,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-05-24,0.0,0.0,Yes,Yes
One  Table  Set,Pen,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-24,3000.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-24,2500.0,0.0,Yes,Yes
One  book  ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-24,0.0,0.0,Yes,Yes
One Neck-Tie,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-24,1500.0,0.0,Yes,Yes
One  Embroidery  duly,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-24,3000.0,0.0,Yes,Yes
One Silver Tray,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-30,5500.0,0.0,Yes,Yes
One  small  tray,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-30,0.0,0.0,Yes,Yes
One  Book  ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-30,0.0,0.0,Yes,Yes
Two Sets of Books,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-05-30,0.0,0.0,Yes,Yes
One  wrist  watch  ,Watch,"Mr.  Riaz  H.  Khokhar,  Prime
Minister’s  Special  Envoy  for
Inter-Civilizational Relations
during  Prime  Minister  visit
to Kingdom Of Saudi Arabia
& Yemen",Unknown,2007-06-04,30000.0,3000.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-06-13,40000.0,4500.0,Yes,Yes
One Painting,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-06-13,10000.0,0.0,Yes,Yes
One Bowl,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-06-13,5000.0,0.0,Yes,Yes
One  Coin  ,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-06-13,0.0,0.0,Yes,Yes
Jaeger Lecoultre Wrist,Watch,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-06-16,0.0,24750.0,Yes,Yes
Piece of Thai Silk,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-06-16,1000.0,0.0,Yes,Yes
Small  Coffee  Set  ,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-06-16,2500.0,0.0,Yes,Yes
Small Silver Jug,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-06-16,3500.0,0.0,Yes,Yes
Tile Fixed in Masjid-e-,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-06-16,0.0,0.0,Yes,Yes
Piece of Table Cloth,Not Specified,"Mr.  Khurshid  M.  Kasuri,",Unknown,2007-06-16,1500.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-06-16,10000.0,0.0,Yes,Yes
Set  of  Three  Bowls -,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-06-16,4500.0,0.0,Yes,Yes
One  Wrist  Watch  Ebel,Watch,"Maj.  Gen.  Akhtar  Iqbal,
DCOS",Military,2007-06-21,60000.0,7500.0,Yes,Yes
One  Wrist  Watch  Ebel,Watch,"Brig.  Muhammad  Iftikhar
Mansoor, DG (S)",Military,2007-06-21,60000.0,7500.0,Yes,Yes
One  Wrist  Watch  Ebel,Watch,"Col.  Muhammad  Ilyas,  CSO
to President",Military,2007-06-21,60000.0,7500.0,Yes,Yes
One  Wrist  Watch  Ebel,Watch,"Lt.  Col.  Baber  Mumtaz,
Addl. CSO to President.",Military,2007-06-21,60000.0,7500.0,Yes,Yes
One  Wrist  Watch,Watch,"Mr.  Mansoor  Ahmed  Khan,
Comptroller",Unknown,2007-06-21,35000.0,3750.0,Yes,Yes
One  Wrist  Watch,Watch,"Maj. Zafar Iqbal, MTO",Military,2007-06-21,35000.0,3750.0,Yes,Yes
One  Wrist  Watch  Ebel,Watch,"Maj. Mobeen  Umer  Farooqi,
Security Officer",Military,2007-06-21,60000.0,7500.0,Yes,Yes
One  Wrist  Watch  VIP,Watch,"Hav.  Tariq  Mahmood,
Gunman SSG",Police,2007-06-21,10000.0,0.0,Yes,Yes
One  Wrist  Watch  VIP,Watch,"Hav.  Muhammad  Anwar
Gunman, SSG",Police,2007-06-21,10000.0,0.0,Yes,Yes
One  Wrist  Watch  VIP,Watch,"L/NK  Naeem  Ishaq,",Military,2007-06-21,10000.0,0.0,Yes,Yes
One  Wrist  Watch  VIP,Watch,"Sep.  Asif  Riaz,  Gunman,
SSG",Police,2007-06-21,10000.0,0.0,Yes,Yes
One  Wrist  Watch  VIP,Watch,"Sep.  Gul Zameen  Khan,
Gunman, SSG",Police,2007-06-21,10000.0,0.0,Yes,Yes
One  Wrist  Watch  VIP,Watch,"Mr. Ghulam Ali, Valet",Unknown,2007-06-21,10000.0,0.0,Yes,Yes
One Kehwa Set,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-06-23,2500.0,0.0,Yes,Yes
One Ceramic Plate,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-06-23,2000.0,0.0,Yes,Yes
One Painting,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-06-23,10000.0,0.0,Yes,Yes
One  Replica  of  Diesel,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-06-23,0.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-06-23,0.0,0.0,Yes,Yes
One  wrist  watch,Watch,"Dr.  Ashafaque  Hasan  Khan,
DG (Debt) M/o Finance",Unknown,2007-06-27,100000.0,13500.0,Yes,Yes
One  Wooden  Carved,Not Specified,"Mr.  Sikandar  Hayat  Khan
Bosan,  Minister  Food,
Agriculture and Livestock",Unknown,2007-07-06,7500.0,0.0,Yes,Yes
Souvenir,Not Specified,"Mr.  Salim  Gul  Shaikh,
Secretary M/o Culture",Bureaucracy,2007-07-10,2000.0,0.0,Yes,Yes
a,"Bag, Jewellery/Accessories","Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-07-11,8500.0,0.0,Yes,Yes
One  Book,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-07-11,0.0,0.0,Yes,Yes
One wall hanging,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-07-11,7500.0,0.0,Yes,Yes
One Bowl,Not Specified,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mus,2007-07-11,3000.0,0.0,Yes,Yes
Emblem of Seal of the,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-07-18,0.0,0.0,Yes,Yes
Peggy  Karr  Glass,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-07-18,3000.0,0.0,Yes,Yes
Empire  of  Blue  Water,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-07-18,1000.0,0.0,Yes,Yes
Presidential  courage,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-07-18,1800.0,0.0,Yes,Yes
A  Replica  ,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-07-18,0.0,0.0,Yes,Yes
Pair  of  Hand  Painted,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-07-18,600.0,0.0,Yes,Yes
Power  Faith  and,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-07-18,3000.0,0.0,Yes,Yes
The  Rise  and  Fall  of,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-07-18,2200.0,0.0,Yes,Yes
Four  Queens  the,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-07-18,2100.0,0.0,Yes,Yes
A  photo  Tour  of,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-07-18,0.0,0.0,Yes,Yes
Chicago  then  and,Not Specified,"Mr.  Khurshid  M.  Kasuri,
Foreign Minister",Unknown,2007-07-18,0.0,0.0,Yes,Yes
One Ceramic Vase,Decoration Pieces,"Dr.  Waqar  Masood  Khan,
Special  Secretary  to  the
Prime Minister",Bureaucracy,2007-07-25,1000.0,0.0,Auctioned,"Auctioned for
Rs.1,632/-"
One  Camera  Sony,Not Specified,"Mr.  M.  Akram  Malik,
Secretary,  Economic  Affairs
Division",Bureaucracy,2007-07-25,15000.0,750.0,Yes,Yes
One  Wrist  Watch,Watch,"Lt.  Col.  Syed  M.  Adnan,
DMS to President",Military,2007-07-31,9500.0,0.0,Yes,Yes
Wrist  Watch  ,Watch,"Col.  M.  Ilyas,  CSO  to
President.",Military,2007-07-31,9500.0,0.0,Yes,Yes
Wrist  Watch  ,Watch,"Maj.  Shaheryar  Eqbal
Saeed, ADC to President",Military,2007-07-31,75000.0,9750.0,Yes,Yes
One  Wrist  Watch,Watch,"Maj.  Asad  Farooq,  SO  to
President",Military,2007-07-31,4000.0,0.0,Yes,Yes
Wrist  Watch  ,Watch,"Maj.  Tahir  Mahmood,  SO  to
President.",Military,2007-07-31,4000.0,0.0,Yes,Yes
Wrist  Watch  ,Watch,"Maj.  Israr  Ahmed  Khan,
Protocol Assistant.",Military,2007-07-31,4000.0,0.0,Yes,Yes
Wrist  Watch  ,Watch,"Hav.  Tariq  Mahmood,",Military,2007-07-31,4000.0,0.0,Yes,Yes
Wrist  Watch  ,Watch,"L/NK  Naeem  Ishaq,
Gunman",Military,2007-07-31,4000.0,0.0,Yes,Yes
Wrist  Watch  ,Watch,"L/NK  Rana  Ijaz  Ahmed,
Gunman",Military,2007-07-31,4000.0,0.0,Yes,Yes
